mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.029722118377685548,0.005896499197035365,0.009174346923828125,0.0031181476278911067,entropy,2,50,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 50}",0.8259979529170931,0.8259979529170931,0.8285568065506653,0.8202764976958525,0.819252432155658,0.8240163284472726,0.003609727258746786,39
0.02732686996459961,0.0022365242957140675,0.0069809436798095705,0.0018931363332849488,entropy,2,100,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 100}",0.8142272262026612,0.8116683725690891,0.8285568065506653,0.8074756784434204,0.8095238095238095,0.8142903786579291,0.007477568980693246,58
0.028525638580322265,0.010163799124582788,0.006672477722167969,0.0029756793592132335,entropy,2,150,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 150}",0.8142272262026612,0.8116683725690891,0.8193449334698055,0.8074756784434204,0.8095238095238095,0.8124480040417572,0.004113782388536765,60
0.07829241752624512,0.03126196005989219,0.02802896499633789,0.02424845498774378,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8269329237071172,0.8307731694828469,0.0032718021539225655,20
0.06413073539733886,0.014613007510717065,0.018853425979614258,0.008922627605051178,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 10}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8269329237071172,0.8307731694828469,0.0032718021539225655,20
0.1155932903289795,0.021057259823666,0.02154221534729004,0.00828644602295186,entropy,3,20,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 20}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8269329237071172,0.8307731694828469,0.0032718021539225655,20
0.1340517520904541,0.022171830341597434,0.029929590225219727,0.015245574048758766,entropy,3,50,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 50}",0.8316274309109519,0.834186284544524,0.834186284544524,0.8269329237071172,0.8269329237071172,0.8307731694828469,0.0032718021539225655,20
0.103523588180542,0.043826235680446864,0.020145702362060546,0.012041340395333425,entropy,3,100,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 100}",0.8285568065506653,0.8213920163766633,0.8336745138178097,0.8259088581669227,0.830005120327701,0.8279074630479524,0.004111597120993191,35
0.09464735984802246,0.01551315187362568,0.02014951705932617,0.018225572143018468,entropy,3,150,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 150}",0.8219037871033776,0.8172978505629478,0.8244626407369499,0.8166922683051715,0.815668202764977,0.8192049498946847,0.0033878079096297696,51
0.1237767219543457,0.008936600910950167,0.019251537322998048,0.00605148462652045,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5}",0.8352098259979529,0.8398157625383829,0.8316274309109519,0.833589349718382,0.8376856118791602,0.835585596208966,0.002901642597517837,8
